PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,notes,checkinItems,manualPo,isSubscription,orderFormat,materialType,closeReason,closeReasonNote,paymentStatus,receiptStatus
AC,45159774,ACWESTL,ongoing,Pending,true,AC,20050622,20991231,20991231,Purchase,P,,,,20050526,20050526,1,6509.77,,Thomson Reuters Westlaw.,,,library note: invoiced monthly;online only; fund name: S-LAW-2022; vendor note: //begin June 2005-,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,45112861,ACE,ongoing,Pending,true,AC,20050125,20991231,20991231,Purchase,P,RB805010001455029057,,,20050125,20050125,1,440.03,,Der Islam.,,1613-0928,library note: Online (2012 review); fund name: S-RELIG-2022; vendor note: //begin 2005,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,45123780,ACE,ongoing,Pending,true,AC,20050223,20991231,20991231,Purchase,P,RB805010001504166157,,,20050223,20050223,1,417.72,,Kant-Studien.,,1613-1134,library note: Online only-2012 review; fund name: S-PHIL-2022; vendor note: //begin 2005,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,78516,ACE,ongoing,Pending,true,AC,20110101,20991231,20991231,Purchase,P,RB805010001552511875,,"Trumble, Paul M.",20110420,20110420,1,1.23,,The Massachusetts historical review.,,2155-1316,library note: Online (2012 review); fund name: S-HIST-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,4511304X,ACE,ongoing,Pending,true,AC,20060525,20991231,20991231,Purchase,P,RB805010001258186246,,,20050125,20050125,1,7991.02,,Dalton transactions.,,1477-9234,library note: Online; fund name: S-CHEM-2022; vendor note: //begin 2000,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,198392,ACYR,one-time,Pending,true,AC,0,0,0,Purchase,P,,,"Zanker, Andreas T.",20220228,20220228,1,80.00,,Poetics of the First Punic War / Thomas Biggs.,"Biggs, Thomas (Classicist), author.",9780472132133,order group: GROUP5; library note: Hold; fund name: F-GEN-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
AC,198398,ACYR,one-time,Pending,true,AC,0,0,0,Purchase,P,,,"Smith, Sara",20220228,20220228,1,18.00,,Uncertain acrobats / Rebecca Hart Olander.,"Olander, Rebecca Hart, author.",9781933880884,library note: Hold; fund name: F-GEN-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
AC,198379,ACMCARD,one-time,Pending,true,AC,0,0,0,Purchase,P,,,"Stephens Falcasantos, Rebecca",20220224,20220224,1,20.64,,"The cult of the saints : select homilies and letters / St. John Chrysostom ; introduced, translated,","John Chrysostom, Saint, -407, author.",9780881413021,order group: GROUP2; library note: Rush RELI 370/ Sp'22; fund name: F-GEN-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
AC,198401,ACYE,one-time,Pending,true,AC,0,0,0,Purchase,P,,,"Arboleda, Gabriel A.",20220301,20220301,1,189.00,,Sustainability and privilege : a critique of social design practice / Gabriel Arboleda.,"Arboleda, Gabriel, author.",,order group: GROUP2; library note: Rush  ARCH 202/ Sp'22; fund name: F-EBK-2022; vendor note: NL,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
AC,198393,ACMCARD,one-time,Pending,true,AC,0,0,0,Purchase,P,,,"Nelson, Ingrid L.",20220228,20220228,1,57.91,,How to make a human : animals and violence in the Middle Ages / Karl Steel.,"Steel, Karl.",,order group: GROUP5; library note: Hold; fund name: F-GEN-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
AC,198305,ACMCARD,one-time,Pending,true,AC,0,0,0,Purchase,P,,,"Myint, Thirii M.",20220209,20220209,2,60.00,,A good true Thai / Sunisa Manning.,"Manning, Sunisa, author.",9789814901260 (paper,order group: GROUP2; library note: Rush ENGL 471/ Sp'22; fund name: F-GEN-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
AC,2567,ACLICOSA,ongoing,Pending,true,AC,19950703,20991230,0,Purchase,P,,,"Sinos, Rebecca H. (Becky)",20061106,20061106,1,163.19,,Lexicon topographicum urbis Romae. Supplementum.,,,library note: supplements; fund name: F-SO-2022,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,12595,ACYUK-SO,ongoing,Pending,true,AC,0,0,0,Purchase,P,,,"Niditch, Susan",20070523,20070523,1,53.04,,A history of the Jews and Judaism in the Second Temple Period / Lester L. Grabbe.,"Grabbe, Lester L., author.",9780567089984,library note:  projected 4v. set; no subs.:just added vol; fund name: F-SO-2022; vendor note: v.1 + until complete,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,12966,ACE,ongoing,Pending,true,AC,20070101,20071231,20991231,Purchase,P,RB805010001787128214,,"Trumble, Paul M.",20070611,20070611,1,329.73,,Romance quarterly.,,1940-3216,library note: Online; fund name: S-FREN-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,12962,ACE,ongoing,Pending,true,AC,20070101,20071231,20991231,Purchase,P,RB805010001368071023,,"Trumble, Paul M.",20070611,20070611,1,374.22,,The Germanic review.,,1930-6962,library note: Online (2012 review); fund name: S-GERM-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,12963,ACE,ongoing,Pending,true,AC,20070101,20071231,20991231,Purchase,P,RB805010001394782056,,"Trumble, Paul M.",20070611,20070611,1,392.32,,Historical methods.,,1940-1906,library note: Online; fund name: S-HIST-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,44779689,ACE,ongoing,Pending,true,AC,20030321,20991231,20991231,Purchase,P,RB805010001103151011,,,20021231,20021231,1,243.82,,Aztlán.,,0005-2604,library note: Only ONLY 2020- ; P+O subs cancelled; fund name: S-ENG-2022; vendor note: //begin v.28 (2003)- and renew,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,11354,ACARCHPROD,ongoing,Pending,true,AC,0,0,0,Purchase,P,,,"Joy, Barbara A",20070503,20070503,1,1.06,,ARCHIVAL PRODUCTS.,ARCHIVAL PRODUCTS.,,library note: Lib charges repair supplies; fund name: F-BINDS-2011,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,13428,ACTELEVISION,ongoing,Pending,true,AC,0,20991230,20991231,Purchase,P,,,"Himmelstein, Jerome L.",20070620,20111011,1,1751.00,,Television news archive / Vanderbilt University.,,,"library note: 1supporting membership fee, not access to online content thats done by borrowing and paying a fee for a program; fund name: S-ELEC-2022",Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,12651,ACE,ongoing,Pending,true,AC,20070101,20071231,20991231,Purchase,P,RB805010001395225022,,"Trumble, Paul M.",20070529,20070529,1,487.73,,History.,,1930-8280,library note: online; fund name: S-HIST-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,12658,ACE,ongoing,Pending,true,AC,20070101,20071231,20991231,Purchase,P,RB805010001480355023,,"Trumble, Paul M.",20070529,20070529,1,588.45,,Journal of genetic psychology.,,1940-0896,library note: Online (2012 review); fund name: S-PSYCH-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,12657,ACE,ongoing,Pending,true,AC,20070101,20071231,20991231,Purchase,P,RB805010001245941042,,"Trumble, Paul M.",20070529,20070529,1,377.48,,Critique.,,1939-9138,library note: online; fund name: S-ENG-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,12655,ACE,ongoing,Pending,true,AC,20070101,20071231,20991231,Purchase,P,RB805010001496119959,,"Trumble, Paul M.",20070529,20070529,1,602.27,,The Journal of social psychology.,,1940-1183,library note: Online; fund name: S-PSYCH-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,13836,ACE-DAT,ongoing,Pending,true,AC,20070101,20991231,20991231,Purchase,P,,,,20070628,20070628,1,3109.57,,Women's studies international.,,,fund name: S-REFELE-2022,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,13837,ACPROQU,ongoing,Pending,true,AC,20070801,20991231,20991231,Purchase,P,,,"GROESBECK, MARGARET",20070628,20070628,1,0.00,,FIAF international index to film periodicals database.,,,library note: c/w Arts Premium Package; fund name: S-REFELE-2022,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,20069,ACNAXOS,ongoing,Pending,true,AC,20071120,20081119,20991231,Purchase,P,,,,20071119,20071119,1,618.00,,Naxos Music Library. Jazz.,,,library note: online; 5 simultaneaous users; fund name: S-MUSIC-2022,Independent order and receipt quantity,True,True,electronic,Streaming Audio,,,,
AC,8063,ACRHIZOME,ongoing,Pending,true,AC,20070101,20071231,0,Purchase,P,,,,20070309,20070309,1,289.80,,Rhizome.,,,library note: online; 1-500 users institutional subs; fund name: S-ART-2022,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,7678,ACITER,ongoing,Pending,true,AC,20070101,20991231,0,Purchase,P,,,"Trumble, Paul M.",20070228,20070228,1,0.00,,John Milton : a bibliography / compiled by John T. Shawcross.,"Shawcross, John T., compiler.",,library note: Online; c/w: ITER; e_note: comes with ITER; fund name: S-REFELE-2022,Independent order and receipt quantity,True,True,electronic,E-Book,,,,
